offset_zyx,S,N_cv,combined_internal_score,internal_consistency_score,e_K_solve,wall_norm_e_u,flux_lsq_e_u,e_K_percent,wall_norm_e_u_percent,flux_lsq_e_u_percent
"(0, 0, 0)",1319,1325,0.1947809238838121,0.1192072540670277,0.0394681991548209,0.3450883535244702,0.4470691921378828,3.94681991548209,34.50883535244702,44.70691921378828
"(0, 0, 1)",1321,1324,0.0814452444992612,0.0524880874331485,0.0156812336841852,0.2864019314079111,0.3770656942760106,1.56812336841852,28.64019314079111,37.70656942760106
"(0, 0, 2)",1316,1321,0.100381542756426,0.058333519932378,0.1037051393128067,0.3122028784529493,0.5126791429851231,10.37051393128067,31.22028784529493,51.26791429851231
"(0, 0, 3)",1316,1323,0.1194735803578376,0.0742143390169318,0.058760936531336,0.4102900466380282,0.4681014364827308,5.8760936531336005,41.02900466380282,46.810143648273076
"(0, 1, 0)",1326,1330,0.3348394130014438,0.2445046807082508,0.3191872234012532,0.3684263188390868,0.5786686106540648,31.91872234012532,36.84263188390868,57.86686106540648
"(0, 1, 1)",1326,1335,35.63206273070168,24.728329077353116,0.9702848290831666,6.111450353227266,6.861956257029398,97.02848290831666,611.1450353227266,686.1956257029398
"(0, 1, 2)",1324,1327,0.066298570515133,0.0424414653947896,0.0066503750775557,0.2531890038909115,0.2551671707356943,0.66503750775557,25.318900389091148,25.516717073569428
"(0, 1, 3)",1335,1339,0.2900122159606498,0.2006316413715504,0.4744158484893265,1.9355591874283256,2.5003827297913768,47.44158484893265,193.55591874283255,250.03827297913767
"(0, 2, 0)",1344,1348,0.147271570055122,0.1079201147225914,0.2649024955141471,0.4393897383122767,0.5769672043206717,26.490249551414706,43.93897383122767,57.696720432067174
"(0, 2, 1)",1345,1351,0.2304337568294556,0.1669896905632172,0.0653578260759495,0.3527788175808579,0.4208993710528642,6.5357826075949506,35.27788175808579,42.08993710528642
"(0, 2, 2)",1350,1358,0.0937764853715129,0.0657738896725503,0.1552200493209091,0.3252599321011322,0.3731821033194146,15.52200493209091,32.52599321011322,37.31821033194146
"(0, 2, 3)",1349,1355,0.0821036415644674,0.0586773926189974,0.1417709758364763,0.3469906894406814,0.8106644666207415,14.17709758364763,34.69906894406814,81.06644666207416
"(0, 3, 0)",1366,1368,0.0808838820369619,0.058700539628016,0.0281382399978081,0.3107188458714824,0.5907354842785081,2.81382399978081,31.07188458714824,59.07354842785081
"(0, 3, 1)",1350,1356,0.0912125955217866,0.0662663766842493,0.0112493161622563,0.2542625468136514,0.2726250403905174,1.12493161622563,25.42625468136514,27.262504039051738
"(0, 3, 2)",1345,1351,0.1521636482408366,0.1132128516935584,0.0290339048825445,0.2833988504355449,0.3696919808065011,2.9033904882544497,28.339885043554492,36.96919808065011
"(0, 3, 3)",1369,1373,0.0358281576770128,0.0255377564007708,0.1731893774573663,0.7925213878751931,2.7377778109812696,17.31893774573663,79.25213878751931,273.777781098127
"(1, 0, 0)",1302,1307,0.2091002829240936,0.1353587021590351,0.1712555090489343,0.3487001679040109,0.6075657064144204,17.12555090489343,34.870016790401095,60.75657064144204
"(1, 0, 1)",1290,1294,0.2894272534512064,0.187031012763583,0.1714603412387541,0.3412685023196803,0.8401923759201194,17.14603412387541,34.12685023196803,84.01923759201195
"(1, 0, 2)",1319,1332,0.1175458056168549,0.072829165760362,0.1036966074420651,0.592501239311254,0.8168948713167404,10.36966074420651,59.2501239311254,81.68948713167404
"(1, 0, 3)",1314,1324,0.207049416551999,0.1221416968906395,0.1491259404156328,0.3507339188520486,0.3999547804764083,14.91259404156328,35.073391885204856,39.99547804764083
"(1, 1, 0)",1324,1331,1.9497572061551376,1.3085005034311117,1.9836068612707551,16.234087374434893,137.02673355147334,198.36068612707552,1623.4087374434894,13702.673355147333
"(1, 1, 1)",1329,1336,0.0770581656833736,0.0542885201590549,1.0814755355806094,1.3724519344648043,1.719039467386231,108.14755355806093,137.24519344648044,171.9039467386231
"(1, 1, 2)",1341,1348,0.0983505314737047,0.0677909619426098,0.7075820725465339,0.803354197067854,0.988141939575896,70.7582072546534,80.3354197067854,98.81419395758961
"(1, 1, 3)",1324,1330,0.138104387350418,0.0905756600352866,0.5118539860726461,1.4398684662892058,3.1556455043321683,51.18539860726461,143.98684662892057,315.5645504332168
"(1, 2, 0)",1335,1339,0.5933721107025713,0.4288917008786592,0.992595945329492,0.5442298261148032,0.8346008350553175,99.25959453294921,54.42298261148032,83.46008350553174
"(1, 2, 1)",1340,1349,0.1278879835137656,0.0935361424107441,0.1088110910250063,0.4938889362460568,0.8108229743497772,10.88110910250063,49.38889362460568,81.08229743497772
"(1, 2, 2)",1346,1357,0.0604245451767462,0.0427180140672943,0.0850093821608488,0.363189546782405,0.5323537475163775,8.50093821608488,36.3189546782405,53.23537475163776
"(1, 2, 3)",1350,1357,0.1082886880649789,0.0771680963357844,0.1700634138124565,0.536197500838985,0.7968330235654763,17.006341381245647,53.619750083898495,79.68330235654763
