case,paper_case,scale_factor,shape_zyx,N_fl,S,N_cv,C_comp,roi_fraction_of_fluid_percent,roi_c2_count,roi_pred_ms,split_ms,label_plus_split_ms,scope
orthogonal_duct,Orthogonal duct,1,24x24x64,36864,576,576,64.0,52.01551649305556,13657,7.161140441894531,2.4241000646725297,12.856800109148026,ROI-JFA plus face split only; no flow solve
orthogonal_duct,Orthogonal duct,2,48x48x128,294912,4608,4608,64.0,54.97199164496528,100537,8.43358039855957,15.099600073881447,24.414699990302324,ROI-JFA plus face split only; no flow solve
orthogonal_duct,Orthogonal duct,4,96x96x256,2359296,36864,36864,64.0,56.406614515516495,770449,276.6861915588379,3.6566000198945403,283.06070005055517,ROI-JFA plus face split only; no flow solve
skewed_duct,Skewed duct,1,24x24x64,36369,564,567,64.14285714285714,51.4366630921939,13730,1.9941329956054688,2.4528999347239733,6.383799947798252,ROI-JFA plus face split only; no flow solve
skewed_duct,Skewed duct,2,48x48x128,292897,4592,4599,63.68710589258534,54.82814777891204,100227,10.060787200927734,3.3153999829664826,14.839700073935091,ROI-JFA plus face split only; no flow solve
C_maze,Maze synthetic,1,24x24x64,35328,576,576,61.333333333333336,49.929234601449274,13657,23.538827896118164,17.046900000423193,63.656399957835674,ROI-JFA plus face split only; no flow solve
C_maze,Maze synthetic,2,48x48x128,288768,4608,4608,62.666666666666664,54.013948914007095,100537,23.173809051513672,18.45360000152141,57.15750006493181,ROI-JFA plus face split only; no flow solve
