case,state_source,operation,S_m,S_a,N_c,C_comp,state_rows,coverage_percent,rho_g,e_K_percent,e_phi_percent,e_u_percent,t_total_s,t_ref_s,speedup,reference_timing_status,source_evidence
Bentheimer_2253,PTV/DNS tracks frames 0-99,state-transfer projection,225423,20111,243673,10.26,1921227,98.433,0.0,2.30,19.72,19.14,2.641,,,no_authoritative_same_configuration_dns_runtime,archived Bentheimer 0--99 sampled-state end-to-end summary
Public_Berea_128,reference-field rollout 1000-support,state-transfer projection,22571,3451,25831,15.80,4000000,97.600,0.0,0.39,13.32,17.24,2.059,818.51,397.60,same_hardware_900_step_voxel_reference,outputs/berea_support_ladder_current_method_20260612/berea_support_ladder_current_method_compact_summary.csv; outputs/public_berea_128_reference_timing_900_20260608/cmame_reference_rows_all.csv
