case,paper_case,policy,selector_class,selected_seed_family,selected_seed_rule,selector_reason,total_voxels,fluid_voxels,porosity,near_wall_fraction,mean_solid_neighbors,p90_solid_neighbors,p99_solid_neighbors,contact_faces_per_fluid,selected_S,selected_N_cv,selected_e_K_percent,selected_speedup_vs_ref,selected_wall_beta,selected_K_eff_x,selected_K_ref,evidence_source,evidence_role,selection_uses_K_ref,claim_boundary
orthogonal_duct,Orthogonal duct,fast,structured_or_open_channel,stride_half_admissible,regular half-offset structured sites,low near-wall fraction or high-porosity structured geometry,36864,36864,1.0,0.0,0.0,0.0,0.0,0.0,4608,4608,1.0963573985675867,3.830560982972295,1.25,20.15485765244983,20.378276393389307,main_solver_table_for_table1.csv,main-table structured-site row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
skewed_duct,Skewed duct,fast,structured_or_open_channel,stride_half_admissible,regular half-offset structured sites,low near-wall fraction or high-porosity structured geometry,36864,36369,0.986572265625,0.028155847012565648,0.03332508455002887,0.0,1.0,0.03332508455002887,4544,4544,1.1473741184881463,17.297671655033496,1.25,4.161370010757435,4.11416514469534,main_solver_table_for_table1.csv,main-table structured-site row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
A_thin_wall,Thin-wall synthetic,fast,structured_or_open_channel,stride_half_admissible,regular half-offset structured sites,low near-wall fraction or high-porosity structured geometry,36864,35392,0.9600694444444444,0.0843128390596745,0.08453887884267632,0.0,1.0,0.08453887884267632,1344,1344,0.9349008505169821,380.47142644642603,1.25,8.003641614208345,7.929508571134987,main_solver_table_for_table1.csv,main-table structured-site row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
B_narrow_throat,Narrow-throat synthetic,fast,structured_or_open_channel,stride_half_admissible,regular half-offset structured sites,low near-wall fraction or high-porosity structured geometry,36864,36337,0.9857042100694444,0.02966673088036987,0.029776811514434322,0.0,1.0,0.029776811514434322,1344,1344,2.4491139405118902,328.10801856889456,1.25,1.8616601245293591,1.908398990239913,main_solver_table_for_table1.csv,main-table structured-site row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
C_maze,Maze synthetic,fast,structured_or_open_channel,stride_half_admissible,regular half-offset structured sites,low near-wall fraction or high-porosity structured geometry,36864,35328,0.9583333333333334,0.08933423913043478,0.08967391304347826,0.0,1.0,0.08967391304347826,4608,4608,1.887947559897504,15.590181034014333,1.25,0.9922254839090805,1.0113186496784736,main_solver_table_for_table1.csv,main-table structured-site row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
bentheimer_sandstone_crop,Bentheimer segmented sandstone crop,fast,granular_low_porosity,stride_offset,"origin-offset structured sites, stride (2,4,4)",low porosity with nontrivial solid-contact density,147456,42764,0.2900119357638889,0.18704985501823965,0.33275652417921614,1.0,3.0,0.33275652417921614,1324,1327,0.6204483328390259,365.84620356160775,1.25,0.05193284852891284,0.05225707669002652,bentheimer_final_no_reference_selected_row.csv,granular-rock mask-only selector validation row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
fibrous_filter_proxy,Fibrous filter proxy,fast,fibrous_high_wall_contact,wall_biased,wall-biased sites at the half-stride target count,near-wall fluid fraction >= 0.35 with moderate/high porosity,65536,38912,0.59375,0.4017269736842105,0.5127467105263158,2.0,2.0,0.5127467105263158,1256,1337,6.478282132658836,497.59716682937926,1.25,0.14625696691591486,0.1373584960111365,morphology_aware_seed_protocol_candidate.csv,fast fibrous mask-only selector validation row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
fibrous_filter_proxy,Fibrous filter proxy,accurate,fibrous_high_wall_contact,gfps_admissible,"GFPS denser streamwise sites, stride (1,4,4)",near-wall fluid fraction >= 0.35 with moderate/high porosity,65536,38912,0.59375,0.4017269736842105,0.5127467105263158,2.0,2.0,0.5127467105263158,2512,2651,1.5053116293608173,147.19485110798834,1.25,0.13942616942550726,0.1373584960111365,morphology_aware_seed_protocol_candidate.csv,accurate fibrous mask-only selector validation row,False,mask-only selector audit; validation uses locked K_ref only after the seed rule is fixed
