case,site_rule,N_s,N_c,C_comp,e_K_percent,e_phi_percent,mass_inf_per_volume,role
Orthogonal duct,"half-offset (2,2,2)",4608,4608,8.0,1.0963573985675867,1.451289552545056,1.5848966233454625e-15,retained row
Orthogonal duct,"half-offset (3,3,3)",1344,1344,27.428571428571427,2.926694622984666,2.7333071844508083,1.644774851296528e-17,resolution audit
Orthogonal duct,"half-offset (4,4,4)",576,576,64.0,2.5843419036106487,3.2033433707916723,6.265175399153712e-16,resolution audit
Thin-wall synthetic,"half-offset (2,2,2)",4608,4608,7.680555555555555,0.8795368641013404,3.261760594189097,4.5536491244391186e-17,resolution audit
Thin-wall synthetic,"half-offset (3,3,3)",1344,1344,26.333333333333332,0.9349008505169821,2.4482644216273783,1.0162387585250705e-17,retained row
Thin-wall synthetic,"half-offset (4,4,4)",576,576,61.44444444444444,6.890970043157546,11.483317432790031,2.4980018054066023e-17,resolution audit
