case_label,case,site_rule,seed_id,seed_family,wall_beta,S,N_cv,K_eff_x,K_ref,e_K,speedup_est_vs_ref,main_reading,source_csv
Orthogonal duct,orthogonal_duct,"regular half \((2,2,2)\)",stride_2x2x2_half,stride_half_admissible,1.25,4608,4608,20.15485765244983,20.378276393389307,0.010963573985675867,3.830560982972295,standard procedural row,main_solver_table_for_table1.csv
Skewed duct,skewed_duct,"regular half \((2,2,2)\)",stride_2x2x2_half,stride_half_admissible,1.25,4544,4544,4.161370010757435,4.11416514469534,0.011473741184881463,17.297671655033496,standard procedural row,main_solver_table_for_table1.csv
Thin-wall synthetic,A_thin_wall,"regular half \((3,3,3)\)",stride_3x3x3_half,stride_half_admissible,1.25,1344,1344,8.003641614208345,7.929508571134987,0.009349008505169821,380.47142644642603,standard procedural row,main_solver_table_for_table1.csv
Narrow-throat synthetic,B_narrow_throat,"regular half \((3,3,3)\)",stride_3x3x3_half,stride_half_admissible,1.25,1344,1344,1.8616601245293591,1.908398990239913,0.024491139405118902,328.10801856889456,standard procedural row,main_solver_table_for_table1.csv
Maze synthetic,C_maze,"regular half \((2,2,2)\)",stride_2x2x2_half,stride_half_admissible,1.25,4608,4608,0.9922254839090805,1.0113186496784736,0.01887947559897504,15.590181034014333,stress-case row,main_solver_table_for_table1.csv
Bentheimer crop,bentheimer_sandstone_crop,"self-consistency-selected offset \((0,1,2)\)",selected_offset_0_1_2_stride_2x4x4,stride_offset,1.25,1324,1327,0.05193284852891284,0.05225707669002652,0.006204483328390259,365.84620356160775,segmented production row,bentheimer_final_no_reference_selected_row.csv
Fibrous filter,fibrous_filter_proxy,"wall-biased \((2,4,4)\)",position_wall_biased_fibrous_filter_proxy_r0,wall_biased,1.25,1256,1337,0.14625696691591486,0.1373584960111365,0.06478282132658836,497.59716682937926,segmented transfer diagnostic,outputs/seed_density_position_scan/seed_density_position_scan.csv
