case,paper_case,site_rule,block_rule,S_prescribed,N_block_cells,N_block_split,prescribed_sites_kept_by_geovoronoi,geovoronoi_state_relocation_voxels,block_unassigned_site_count,block_relocation_mean_vox,block_relocation_p50_vox,block_relocation_p95_vox,block_relocation_p99_vox,block_relocation_max_vox,block_relocation_mean_physical,block_relocation_max_physical,smooth_state_relocation_rel_rmse,wall_state_relocation_rel_rmse,claim_boundary
A_thin_wall,Thin-wall synthetic,"regular half-offset (4,4,4)","axis-aligned block (4, 4, 4)",576,576,0,576,0.0,0,0.8406425682306087,0.8660254037844386,0.8660254037844386,0.8660254037844386,0.8660254037844386,0.8406425682306087,0.8660254037844386,0.08488526858285818,0.33340342990499283,no-flow prescribed-state relocation audit; not a permeability benchmark
B_narrow_throat,Narrow-throat synthetic,"regular half-offset (4,4,4)","axis-aligned block (4, 4, 4)",576,576,0,576,0.0,0,0.8564776743229676,0.8660254037844386,0.8660254037844386,0.8660254037844386,0.8660254037844386,0.8564776743229676,0.8660254037844386,0.08762034076719265,0.3350641449409776,no-flow prescribed-state relocation audit; not a permeability benchmark
bentheimer_sandstone_crop,Bentheimer segmented sandstone crop,"mask-selector origin-offset (2,4,4)","axis-aligned block (4, 4, 4)",1319,1022,6,1319,0.0,0,2.269818528120988,2.179449471770337,2.6145362679092052,2.746300946541694,2.8676354952004157,2.269818528120988,2.8676354952004157,0.09249636583184155,0.5935063729462404,no-flow prescribed-state relocation audit; not a permeability benchmark
fibrous_filter_proxy,Fibrous filter proxy,"mask-selector wall-biased fast (2,4,4)","axis-aligned block (4, 4, 4)",1256,1024,92,1256,0.0,0,1.7928231996847268,1.8164764729716443,2.598076211353316,2.7525498382853852,2.8653097563788807,1.7928231996847268,2.8653097563788807,0.12604669808880264,0.5922446965812497,no-flow prescribed-state relocation audit; not a permeability benchmark
