case,paper_case,method,construction_rule,wall_beta,N_fl,S,N_cv,compression_C,N_split,face_connected_fraction,K_eff_x,K_ref_x,e_K_percent,mass_inf_per_volume,steady_momentum_inf,umax,t_build_s,t_solve_s,t_total_s,t_ref_total_s,speedup_vs_ref,roi_tpred_s,claim_boundary
A_thin_wall,Thin-wall synthetic,GeoVoronoi-FV,"regular half-offset (4,4,4)",1.25,35392,576,576,61.44444444444444,0,1.0,8.475928631341509,7.929508571134987,6.89097004315754,2.4980018054066026e-17,6.680436469971369e-16,,0.005214899982092902,0.0611017999763134,0.06631669995840639,126.85445929993875,1912.8584410789656,,same-mask current-operator construction comparison; not a literature-implementation timing claim
A_thin_wall,Thin-wall synthetic,Block agglomeration,"axis-aligned block (4, 4, 4)",1.25,35392,,576,61.44444444444444,0,1.0,8.097195632210152,7.929508571134987,2.1147219852385315,1.396926736611792e-16,6.126547673565757e-17,0.032196106234956175,0.03464990004431456,0.044144999934360385,0.07879489997867495,106.69208619988058,1354.0481202305698,0.0,same-mask current-operator construction comparison; not a literature-implementation timing claim
B_narrow_throat,Narrow-throat synthetic,GeoVoronoi-FV,"regular half-offset (4,4,4)",1.25,36337,576,576,63.08506944444444,0,1.0,1.9319152649341296,1.908398990239913,1.23225147437644,4.5627970802694645e-17,8.434844632708997e-16,,0.005279399978462607,0.06267650000518188,0.06795589998364449,110.28495620001922,1622.8900835183174,,same-mask current-operator construction comparison; not a literature-implementation timing claim
B_narrow_throat,Narrow-throat synthetic,Block agglomeration,"axis-aligned block (4, 4, 4)",1.25,36337,,576,63.08506944444444,0,1.0,1.9053180915423522,1.908398990239913,0.1614389188695532,5.40881358798706e-17,2.972439667418723e-17,0.05227181587654618,0.03389349998906255,0.05423589993733913,0.08812939992640167,94.66889699990861,1074.203354147063,0.0,same-mask current-operator construction comparison; not a literature-implementation timing claim
bentheimer_sandstone_crop,Bentheimer segmented sandstone crop,GeoVoronoi-FV,"internal-selected offset (0,1,2), stride (2,4,4)",1.25,42764,1324,1327,32.22607385079126,3,0.9977341389728097,0.051932848528913396,0.05225707669002652,0.6204483328390259,1.8829881230641998e-16,,0.004755787825982452,0.3526877000113018,0.2994498999901116,0.663323600019794,242.67442080006003,365.84620356160775,,same-mask current-operator final selected-row comparison; not a literature-implementation timing claim
bentheimer_sandstone_crop,Bentheimer segmented sandstone crop,Block agglomeration,"axis-aligned block (4, 4, 4)",1.25,42764,,1022,41.84344422700587,6,0.9950787401574803,0.022509447646421637,0.05225707669002652,56.92555138523916,5.455705331947058e-16,1.234778111465716e-07,0.21252724913364204,0.0391057999804616,0.12958279997110367,0.16868859995156527,242.67442080006003,1438.5940773101322,0.0,same-mask current-operator construction comparison; not a literature-implementation timing claim
fibrous_filter_proxy,Fibrous filter proxy,GeoVoronoi-FV,"mask-selector wall-biased fast (2,4,4)",1.25,38912,1256,1337,29.103964098728497,81,0.9394904458598726,0.1462569669159142,0.1373584960111365,6.47828213265835,1.2923689896027213e-16,6.068909053799178e-08,0.008941317907342622,0.3353266000049189,0.23137459997087717,0.566701199975796,256.2604510000674,452.19676791051853,0.010358810424804688,same-mask current-operator construction comparison; not a literature-implementation timing claim
fibrous_filter_proxy,Fibrous filter proxy,Block agglomeration,"axis-aligned block (4, 4, 4)",1.25,38912,,1024,38.0,92,0.9012875536480687,-2.1278248857675095,0.1373584960111365,1649.1032208120519,7.334627696864437e-17,4.385457969220315e-08,0.9101968616847603,0.041346299927681684,0.12061650003306568,0.16196279996074736,256.2604510000674,1582.2179603104764,0.0,same-mask current-operator construction comparison; not a literature-implementation timing claim
