support,run_tag,particle_state_sites,auxiliary_geometry_sites,N_c,C_comp,state_rows,coverage_percent,rho_g,e_K_percent,e_phi_percent,e_u_percent,mass_inf_per_volume,t_geometry_s,t_flow_s,t_total_s,t_ref_s,task_speedup,face_operator,operator_tproj,face_interpolation_weights,role,summary_csv
500,public_berea_support500_state40k_current_method,13025,3451,16364,24.94,4000000,96.54,0.0,0.719,14.149,21.264,1.227e-13,0.298,1.903,2.125,nan,nan,geodesic_face,area_over_graph_geodesic_face_metric,graph_geodesic_side_lengths,velocity-boundary row,outputs\berea_support_ladder_current_method_20260612\berea_support_ladder_current_method_compact_summary.csv
1000,public_berea_support1000_state40k_current_method,22571,3451,25831,15.8,4000000,97.6,0.0,0.385,13.318,17.238,1.068e-13,0.297,1.826,2.059,818.51,397.6,geodesic_face,area_over_graph_geodesic_face_metric,graph_geodesic_side_lengths,retained transfer row,outputs\berea_support_ladder_current_method_20260612\berea_support_ladder_current_method_compact_summary.csv
2500,public_berea_support2500_state40k_current_method,42808,3451,45899,8.89,4000000,98.23,0.0,0.547,12.159,14.342,1.634e-13,0.322,1.954,2.208,nan,nan,geodesic_face,area_over_graph_geodesic_face_metric,graph_geodesic_side_lengths,protocol-refinement audit,outputs\berea_support_ladder_current_method_20260612\berea_support_ladder_current_method_compact_summary.csv
5000,public_berea_support5000_state40k_current_method,65804,3451,68699,5.94,4000000,98.23,0.0,2.306,10.82,13.744,9.504e-14,0.316,1.932,2.171,nan,nan,geodesic_face,area_over_graph_geodesic_face_metric,graph_geodesic_side_lengths,protocol-refinement audit,outputs\berea_support_ladder_current_method_20260612\berea_support_ladder_current_method_compact_summary.csv
10000,public_berea_support10000_state40k_current_method,94030,3451,96705,4.22,4000000,97.44,0.0,2.44,9.807,14.65,8.075e-14,0.353,2.438,2.702,nan,nan,geodesic_face,area_over_graph_geodesic_face_metric,graph_geodesic_side_lengths,protocol-refinement audit,outputs\berea_support_ladder_current_method_20260612\berea_support_ladder_current_method_compact_summary.csv
