case,case_label,locked_reference_count,locked_K_ref,audit_steps,audit_K_ref,relative_K_ref_change_percent,mass_inf_per_volume,steady_momentum_inf,steady_true_count,steady_false_count,status
orthogonal_duct,Orthogonal duct,9,20.378276393387274,locked,nan,nan,4.5086157980312567e-17,1.09926428214896e-09,9,0,locked references pass steady flag
skewed_duct,Skewed duct,7,4.114165144695341,1800,4.112249789884798,0.046555127059317206,1.0706713293728853e-14,5.078420882839618e-06,0,7,1800-step audit; K_ref drift below 0.11%
A_thin_wall,Thin-wall synthetic,8,7.9295085711349875,1800,7.929436504569505,0.000908840249492359,3.6186331708876196e-15,1.8473917220735224e-06,0,8,1800-step audit; K_ref drift below 0.11%
B_narrow_throat,Narrow-throat synthetic,7,1.9083989902399132,1800,1.9063939460575792,0.1050642026425504,1.3256919433740633e-14,7.065515511765763e-06,0,7,1800-step audit; K_ref drift below 0.11%
C_maze,Maze synthetic,7,1.0113186496784738,1800,1.0109175113450037,0.039664880460539405,4.618267573919255e-15,1.8805298451960676e-06,0,7,1800-step audit; K_ref drift below 0.11%
bentheimer_sandstone_crop,Bentheimer crop,8,0.052257076690026535,1800,0.05221639303333795,0.07785291345303269,3.4862234982651697e-16,2.7342492722725392e-06,0,8,1800-step audit; K_ref drift below 0.11%
fibrous_filter_proxy,Fibrous proxy,2,0.13735849601113648,1800,0.13731780788727704,0.02962184723989321,4.758021233952636e-16,6.226882883639979e-07,0,2,1800-step audit; K_ref drift below 0.11%
