protocol_label,case,seed_rule,seed_family,stride_zyx,selection_rule,wall_beta,S,N_cv,K_eff_x,K_ref,e_K,total_s,reference_total_s,speedup_est_vs_ref,role,source_csv
fibrous_fast_fixed_beta,fibrous_filter_proxy,wall-biased first deterministic candidate at target count equal to half stride,wall_biased,"(2, 4, 4)",fixed seed-family and fixed RNG seed before validation,1.25,1256,1337,0.14625696691591486,0.1373584960111365,0.06478282132658836,0.514995799981989,256.2604510000674,497.59716682937926,current-method fast fibrous candidate,outputs/seed_density_position_scan/seed_density_position_scan.csv
fibrous_accurate_fixed_beta,fibrous_filter_proxy,GFPS first deterministic candidate at denser streamwise stride,gfps_admissible,"(1, 4, 4)",fixed seed-family and first repeat before validation,1.25,2512,2651,0.13942616942550726,0.1373584960111365,0.015053116293608173,1.74096069985535,256.2604510000674,147.19485110798834,current-method accurate fibrous candidate,outputs/fibrous_seed_position_repeats/fibrous_seed_position_repeats.csv
duct_default_regular,orthogonal_duct,regular half-offset stride seed,stride_half_admissible,"(4, 4, 4)",fixed structured seed protocol,1.25,576,576,19.851632057313438,20.378276393389687,0.025843419036512914,0.30086419999133795,25.018101099994965,83.15413100234342,duct-safe default,outputs/seed_density_position_scan/seed_density_position_scan.csv
bentheimer_default_offset,bentheimer_sandstone_crop,origin-offset structured stride seed,stride_offset,"(2, 4, 4)",fixed structured seed protocol,1.25,1319,1325,0.05019458397997549,0.05225707669002652,0.03946819915482693,0.5162788999732584,242.67442080006003,470.0452038861743,granular-rock default,outputs/seed_density_position_scan/seed_density_position_scan.csv
